Name,Polygon_Unit_ID,Sampling_Unit,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Lat,Long,Date,Time,Scale,source,photo,brightness
RDP_82_X3096_Y427,RDP_82,polygon,pervious,GV,shrub,deciduous,needleleaf,DNS,ARCA-SALE,34.43811,-119.67861,2011_07_19,2130,7_5m,AVIRIS_r21,na,1525.4
RDP_82_X3090_Y427,RDP_82,polygon,pervious,GV,shrub,deciduous,needleleaf,DNS,ARCA-SALE,34.438124,-119.6791,2011_07_19,2130,7_5m,AVIRIS_r21,na,1525.53
RDP_82_X3103_Y432,RDP_82,polygon,pervious,NPV,shrub,deciduous,needleleaf,DNS,ARCA-SALE,34.437757,-119.67805,2011_07_19,2130,7_5m,AVIRIS_r21,na,1734.91
RDP_82_X3102_Y433,RDP_82,polygon,pervious,NPV,shrub,deciduous,needleleaf,DNS,ARCA-SALE,34.437692,-119.67814,2011_07_19,2130,7_5m,AVIRIS_r21,na,1779.4
DTR_20_X3562_Y52,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.470406,-119.64101,2011_07_1196,2143,7_5m,AVIRIS_r22,na,1008.46
DTR_20_X3569_Y57,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.470053,-119.64045,2011_07_1305,2143,7_5m,AVIRIS_r22,na,1010.01
DTR_27_X3623_Y75,DTR_27,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.468717,-119.6361,2011_07_2039,2143,7_5m,AVIRIS_r22,na,1024.31
DTR_9_X4018_Y89,DTR_9,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.466878,-119.60386,2011_07_4129,2143,7_5m,AVIRIS_r22,na,1026.42
DTR_20_X3570_Y57,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.470051,-119.64037,2011_07_1306,2143,7_5m,AVIRIS_r22,na,1034.57
DTR_20_X3571_Y59,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.469914,-119.6403,2011_07_1332,2143,7_5m,AVIRIS_r22,na,1050.96
DTR_20_X3563_Y56,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.470134,-119.64094,2011_07_1281,2143,7_5m,AVIRIS_r22,na,1058.22
DTR_27_X3627_Y79,DTR_27,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.468438,-119.63579,2011_07_2075,2143,7_5m,AVIRIS_r22,na,1069.31
DTR_9_X4020_Y88,DTR_9,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.466943,-119.60377,2011_07_4123,2143,7_5m,AVIRIS_r22,na,1084.68
DTR_20_X3575_Y54,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.470242,-119.63996,2011_07_1251,2143,7_5m,AVIRIS_r22,na,1113.3
DTR_20_X3569_Y54,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.470256,-119.64045,2011_07_1245,2143,7_5m,AVIRIS_r22,na,1223.15
DTR_20_X3575_Y61,DTR_20,polygon,pervious,GV,shrub,evergreen,broadleaf,EBS,ARGL,34.469774,-119.64014,2011_07_1346,2143,7_5m,AVIRIS_r22,na,1309.62
